run_id,script,table,model,timestamp_utc,row_id,entity_id,reporting_year,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,status,error_msg
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:00,POLREF-ENT-IT-007-2024,ENT-IT-007,2024,480,330,810,0.00027,6.628,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:09,POLREF-ENT-BE-008-2019,ENT-BE-008,2019,461,381,842,0.000298,8.587,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:18,POLREF-ENT-BE-008-2020,ENT-BE-008,2020,461,329,790,0.000267,8.458,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:27,POLREF-ENT-BE-008-2021,ENT-BE-008,2021,461,410,871,0.000315,8.777,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:35,POLREF-ENT-BE-008-2022,ENT-BE-008,2022,461,312,773,0.000256,7.373,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:43,POLREF-ENT-BE-008-2023,ENT-BE-008,2023,461,318,779,0.00026,7.501,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:49,POLREF-ENT-BE-008-2024,ENT-BE-008,2024,478,310,788,0.000258,6.198,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:05:57,POLREF-ENT-LU-009-2019,ENT-LU-009,2019,462,262,724,0.000227,6.777,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:05,POLREF-ENT-LU-009-2020,ENT-LU-009,2020,462,323,785,0.000263,7.367,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:12,POLREF-ENT-LU-009-2021,ENT-LU-009,2021,462,319,781,0.000261,6.565,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:20,POLREF-ENT-LU-009-2022,ENT-LU-009,2022,462,347,809,0.000277,7.861,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:30,POLREF-ENT-LU-009-2023,ENT-LU-009,2023,462,303,765,0.000251,9.326,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:38,POLREF-ENT-LU-009-2024,ENT-LU-009,2024,479,348,827,0.000281,7.269,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:46,POLREF-ENT-US-010-2019,ENT-US-010,2019,470,335,805,0.000271,7.411,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:06:54,POLREF-ENT-US-010-2020,ENT-US-010,2020,470,384,854,0.000301,7.73,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:07:02,POLREF-ENT-US-010-2021,ENT-US-010,2021,470,375,845,0.000295,7.612,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:07:10,POLREF-ENT-US-010-2022,ENT-US-010,2022,470,354,824,0.000283,7.696,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:07:18,POLREF-ENT-US-010-2023,ENT-US-010,2023,470,358,828,0.000285,7.697,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:07:26,POLREF-ENT-US-010-2024,ENT-US-010,2024,487,405,892,0.000316,7.168,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:21:18,POLREF-ENT-GROUP-001-2019,ENT-GROUP-001,2019,473,307,780,0.000255,6.644,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:21:28,POLREF-ENT-GROUP-001-2020,ENT-GROUP-001,2020,473,420,893,0.000323,8.812,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:21:35,POLREF-ENT-GROUP-001-2021,ENT-GROUP-001,2021,473,298,771,0.00025,7.107,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:21:44,POLREF-ENT-GROUP-001-2022,ENT-GROUP-001,2022,473,332,805,0.00027,8.82,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:21:52,POLREF-ENT-GROUP-001-2023,ENT-GROUP-001,2023,473,303,776,0.000253,7.022,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:00,POLREF-ENT-GROUP-001-2024,ENT-GROUP-001,2024,490,318,808,0.000264,7.108,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:07,POLREF-ENT-FR-002-2019,ENT-FR-002,2019,474,317,791,0.000261,7.322,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:15,POLREF-ENT-FR-002-2020,ENT-FR-002,2020,474,371,845,0.000294,7.453,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:23,POLREF-ENT-FR-002-2021,ENT-FR-002,2021,474,300,774,0.000251,7.244,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:32,POLREF-ENT-FR-002-2022,ENT-FR-002,2022,474,314,788,0.000259,7.947,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:43,POLREF-ENT-FR-002-2023,ENT-FR-002,2023,474,389,863,0.000304,10.523,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:49,POLREF-ENT-FR-002-2024,ENT-FR-002,2024,491,319,810,0.000265,6.203,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:22:59,POLREF-ENT-DE-003-2019,ENT-DE-003,2019,472,385,857,0.000302,9.136,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:23:07,POLREF-ENT-DE-003-2020,ENT-DE-003,2020,472,352,824,0.000282,7.833,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:23:16,POLREF-ENT-DE-003-2021,ENT-DE-003,2021,472,400,872,0.000311,8.263,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:23:25,POLREF-ENT-DE-003-2022,ENT-DE-003,2022,472,370,842,0.000293,8.243,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:23:38,POLREF-ENT-DE-003-2023,ENT-DE-003,2023,472,353,825,0.000283,12.705,ok,
20260518T152111Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T15:23:47,POLREF-ENT-DE-003-2024,ENT-DE-003,2024,489,361,850,0.00029,8.176,ok,
